model,mean_fz_score,rank,delta_vs_reference,se_delta,ci_lo,ci_hi,p_value_or_mcs_status
GARCH_t,-3.793573359541429,1,-0.06117063322335836,0.09385569487210461,-0.2451277951726834,0.12278652872596668,in_90%_MCS
FHS,-3.78463606207407,2,-0.052233335755999845,0.0813995224826045,-0.21177639982190466,0.10730972830990498,in_90%_MCS
EWMA_Normal,-3.771680802184586,3,-0.03927807586651541,0.12696325470953365,-0.28812605509720135,0.20956990336417053,in_90%_MCS
GARCH_EVT,-3.76891442383965,4,-0.03651169752157972,0.07971823917504063,-0.19275944630465935,0.1197360512614999,excluded_from_90%_MCS
MS_POT_Mixture,-3.7324027263180706,5,0.0,,,,excluded_from_90%_MCS
HistoricalSimulation,-3.586755598836612,6,0.14564712748145853,0.053178523834500675,0.041417220765837204,0.24987703419707985,excluded_from_90%_MCS
Static_POT_EVT,-3.575090878676285,7,0.1573118476417854,0.053289608562388804,0.05286421485950335,0.2617594804240675,excluded_from_90%_MCS
