entry_date,time_to_peak_ES_days,pre_entry_avg_ES,peak_ES,time_to_normalize_days
2022-01-25,15,0.02448137503553574,0.07319633379784111,19.0
2022-02-15,8,0.033238031973410444,0.07321730437925428,
2022-02-25,0,0.03812891138253699,0.07321730437925428,17.0
2022-03-08,0,0.04662966744656395,0.07060862494207412,11.0
2022-03-10,0,0.05019733173131326,0.06921988598642106,3.0
2022-05-20,1,0.039998135630593665,0.07228473193862502,4.0
2022-06-14,0,0.03972418169641419,0.06825072248563331,5.0
2022-06-17,0,0.04132327247483799,0.06553979276208381,2.0
2024-06-04,1,0.02475758242601925,0.07102777251562,8.0
2024-08-06,0,0.025038261186982165,0.06800232284463738,5.0
2025-04-08,0,0.025804422101621816,0.074392231435822,10.0
2025-04-16,0,0.03489527483330437,0.07304586342515734,5.0
2025-05-13,0,0.04111990340230924,0.07281727059401734,4.0
