series,N,mean,std,min,max,skewness,excess_kurtosis,pct_1,pct_5
NIFTY50,3927,0.00040766741856807756,0.01043760306569333,-0.13903756461051203,0.08400295216282225,-0.9090583575159805,13.673608613110254,-0.026672276894755643,-0.015675219144315054
NIFTY500,3937,0.000429243757555341,0.010260165924757945,-0.1370631249148142,0.07409395485980648,-1.15218949374546,13.372599820559952,-0.027478290433188418,-0.016169925445250272
NIFTYBANK,3942,0.00047458274698365156,0.014416025725569938,-0.1831300075395312,0.09995144613209324,-0.6005829119038377,11.113029342316187,-0.03778105638572206,-0.022255859122213173
NIFTYIT,3942,0.0004734805663689428,0.01329635768233982,-0.12490349600504326,0.08922018839296492,-0.4881133041492374,7.055364309353141,-0.03592284898536726,-0.019680833605471588
NIFTYPHARMA,3673,0.0004274173333974611,0.011583553204600677,-0.09350741240401454,0.09864996484168057,-0.1713694603778818,4.985108829668149,-0.03002070670739,-0.017879862069772868
