regime,xi_hat,ci_lo,ci_hi,p_xi_eq_0,threshold_q,n_exceed
0,-0.22409617479517588,-0.4763638804786017,-0.07065573342089838,0.007,0.93,93
1,0.3678070771377746,-0.20980793713275203,0.7918633372923881,0.249,0.96,36
