date,model,alpha,var,es,realized_loss,fz_score
2022-01-03,MS_POT_Mixture,0.95,0.013530977601273666,0.019455896575189112,-0.0155320663316478,-4.24413584921799
2022-01-04,MS_POT_Mixture,0.95,0.01411260857633405,0.021636760749123123,-0.0101353377336508,-4.181110074122326
2022-01-05,MS_POT_Mixture,0.95,0.013861230792601762,0.020700264355791344,-0.0067169757589339,-4.207992683551169
2022-01-06,MS_POT_Mixture,0.95,0.013607412773581967,0.019745822375199156,0.0100558080531172,-4.235684641913353
2022-01-07,MS_POT_Mixture,0.95,0.013744896167673715,0.020264688175050567,-0.0037571168401497,-4.220607078299236
2022-01-10,MS_POT_Mixture,0.95,0.013526393303600882,0.019438423339017595,-0.0106434756439645,-4.2446450256431785
2022-01-11,MS_POT_Mixture,0.95,0.013630080772612173,0.019832045273385092,-0.0029090757855369,-4.23318060351847
2022-01-12,MS_POT_Mixture,0.95,0.013493359416157733,0.019312068343479802,-0.0086357203311153,-4.248324181742425
2022-01-13,MS_POT_Mixture,0.95,0.013542730736749265,0.019500625549572943,-0.0024925148330414,-4.24283200076297
2022-01-14,MS_POT_Mixture,0.95,0.013471597953180361,0.019228402128525873,0.0001123298725145,-4.250757484385009
2022-01-17,MS_POT_Mixture,0.95,0.013453973910833575,0.019160392701014835,-0.0028634646353713,-4.252733697333305
2022-01-18,MS_POT_Mixture,0.95,0.01345300240318417,0.019156637219973544,0.0107108474462168,-4.252842777584105
2022-01-19,MS_POT_Mixture,0.95,0.013699583320736328,0.020094586356879673,0.0096890278340564,-4.225549905393224
2022-01-20,MS_POT_Mixture,0.95,0.013768297846445432,0.020352231192667786,0.0101638838763968,-4.2180640715901685
2022-01-21,MS_POT_Mixture,0.95,0.013845511935573386,0.02064078144037957,0.0079069227919098,-4.209702188018492
2022-01-24,MS_POT_Mixture,0.95,0.013720486001396756,0.02017306130728855,0.0269272102621386,8.870157839285342
2022-01-25,MS_POT_Mixture,0.95,0.04391458873324349,0.058800265401843854,-0.0074854055398087,-3.086765534266684
2022-01-27,MS_POT_Mixture,0.95,0.031872351456724075,0.048803224827722015,0.0097591993637289,-3.3668800867934703
2022-01-28,MS_POT_Mixture,0.95,0.023126960413686934,0.04114884429434232,0.0004794310858279,-3.6285276037382843
2022-01-31,MS_POT_Mixture,0.95,0.01540861979712432,0.02592922323403482,-0.0138148518554594,-4.058127736968847
2022-02-01,MS_POT_Mixture,0.95,0.015390207466843275,0.02587079406160324,-0.0135753748226512,-4.059753264265552
2022-02-02,MS_POT_Mixture,0.95,0.015179616971897077,0.025520787519714636,-0.011491556994747,-4.073467739499101
2022-02-03,MS_POT_Mixture,0.95,0.014508506674920488,0.02338421936149608,0.0124392969118211,-4.135253801347418
2022-02-04,MS_POT_Mixture,0.95,0.014794331315027052,0.02433453138447459,0.0025030125821506,-4.10790260702428
2022-02-07,MS_POT_Mixture,0.95,0.013750618692103877,0.020705914044581206,0.0174321742274954,-0.6572020357187633
2022-02-08,MS_POT_Mixture,0.95,0.016340008036240337,0.028644396802166606,-0.0030829404762161,-3.982353996455913
2022-02-09,MS_POT_Mixture,0.95,0.014039228269341187,0.021765636935238836,-0.0113475249468573,-4.18240480967293
2022-02-10,MS_POT_Mixture,0.95,0.0139129336632754,0.021297657965473175,-0.00810099920504,-4.195896964000432
2022-02-11,MS_POT_Mixture,0.95,0.013637160915154161,0.020287872165491144,0.0132132081342731,-4.22554909345137
2022-02-14,MS_POT_Mixture,0.95,0.014158545302912962,0.022197524224483213,0.0310946906967536,11.08955932953883
2022-02-15,MS_POT_Mixture,0.95,0.047906450773717454,0.06273181893358275,-0.0298103496144214,-3.0052158018426387
2022-02-16,MS_POT_Mixture,0.95,0.04825527208883586,0.06319551935204697,0.0017447910238332,-2.99793495494606
2022-02-17,MS_POT_Mixture,0.95,0.04064234426163852,0.05563894959325919,0.0010165312120177,-3.158406090735707
2022-02-18,MS_POT_Mixture,0.95,0.022306667335042846,0.03955682067489633,0.0016366742405402,-3.666102577336084
2022-02-21,MS_POT_Mixture,0.95,0.015216577577988619,0.025633673438873274,0.0040397055923562,-4.070231686368888
2022-02-22,MS_POT_Mixture,0.95,0.01390904544440808,0.021283631128848787,0.0066737863209561,-4.196307948721703
2022-02-23,MS_POT_Mixture,0.95,0.01365554955382831,0.020355815324325035,0.001695145363,-4.223545970057134
2022-02-24,MS_POT_Mixture,0.95,0.013468353758362549,0.01965200794977333,0.0489602690308219,31.876162414606014
2022-02-25,MS_POT_Mixture,0.95,0.04826198487346741,0.06321532396189017,-0.0249478581682029,-2.9977546512535875
2022-02-28,MS_POT_Mixture,0.95,0.04822135653563347,0.0630959883060023,-0.0081011313355374,-2.998844166059734
2022-03-02,MS_POT_Mixture,0.95,0.041967320799725434,0.05728651893738553,0.0112547306669936,-3.1271036222209
2022-03-03,MS_POT_Mixture,0.95,0.037667358311587344,0.05353683344366905,0.0065187783706088,-3.2238070107410435
2022-03-04,MS_POT_Mixture,0.95,0.022561936065679952,0.040131639884928225,0.0154355495239856,-3.6533920222703893
2022-03-07,MS_POT_Mixture,0.95,0.031186673992167287,0.0473306732223988,0.0238078559614201,-3.3916862865002475
2022-03-08,MS_POT_Mixture,0.95,0.0464956919389794,0.060907298465386686,-0.0094301723362427,-3.0350176965291307
2022-03-09,MS_POT_Mixture,0.95,0.040251016663298056,0.055064635030728316,-0.0205144230156611,-3.1682699667876983
2022-03-10,MS_POT_Mixture,0.95,0.04505314011975835,0.05954423835194522,-0.015152013456311,-3.06440266669993
2022-03-11,MS_POT_Mixture,0.95,0.04325566303541549,0.0578741812105633,-0.0021398626113986,-3.1020752748178877
2022-03-14,MS_POT_Mixture,0.95,0.027945984430904746,0.04483386297312668,-0.0143786943723374,-3.4814684110434064
2022-03-15,MS_POT_Mixture,0.95,0.026595251981126652,0.04350625863180578,0.0124233072084706,-3.5235533229807374
2022-03-16,MS_POT_Mixture,0.95,0.025299154369667586,0.04245258087416382,-0.018571576221107,-3.5634284340349303
2022-03-17,MS_POT_Mixture,0.95,0.03529117333123142,0.05143621350408996,-0.0181954426985114,-3.2812975064254415
2022-03-21,MS_POT_Mixture,0.95,0.040804950280379594,0.05583128190791865,0.009850560325581,-3.154559175327544
2022-03-22,MS_POT_Mixture,0.95,0.034374941986712156,0.05030077926779129,-0.0114949029834435,-3.306346847874107
2022-03-23,MS_POT_Mixture,0.95,0.026087229318048057,0.04303366351923727,0.0040420937201906,-3.539567426832123
2022-03-24,MS_POT_Mixture,0.95,0.016192533429607237,0.028590432355776185,0.0013287761390126,-3.988321185825685
2022-03-25,MS_POT_Mixture,0.95,0.01393243905974538,0.02177400455944967,0.0040580988470762,-4.187172754189676
2022-03-28,MS_POT_Mixture,0.95,0.01350222064455254,0.02020009657488847,-0.0040145508462854,-4.233644324759209
2022-03-29,MS_POT_Mixture,0.95,0.013354428075378054,0.019640364198045122,-0.0059802697624021,-4.250220344982388
2022-03-30,MS_POT_Mixture,0.95,0.013345211248942156,0.019604763218425376,-0.0099329698927592,-4.251270023693748
2022-03-31,MS_POT_Mixture,0.95,0.013460673912120873,0.02004446459876591,0.0019163121157625,-4.238261537005441
2022-04-01,MS_POT_Mixture,0.95,0.013343991024195511,0.0196000224707647,-0.0117091448747648,-4.251409478229764
2022-04-04,MS_POT_Mixture,0.95,0.013567510565070127,0.020441990907911222,-0.0214403456403388,-4.226456230146265
2022-04-05,MS_POT_Mixture,0.95,0.019417573388420817,0.034937846083058194,0.0053317463281753,-3.798409851844059
2022-04-06,MS_POT_Mixture,0.95,0.015010278751404456,0.025340748981265586,0.0083741458125089,-4.083003934719505
2022-04-07,MS_POT_Mixture,0.95,0.014148817025259415,0.022679526710115853,0.0094845778489411,-4.162434101869254
2022-04-08,MS_POT_Mixture,0.95,0.013907092339566824,0.0219003996578414,-0.0081752507766337,-4.1862349341754825
2022-04-11,MS_POT_Mixture,0.95,0.013459755204272863,0.0203497968868371,0.0061704963921376,-4.233264714359866
2022-04-12,MS_POT_Mixture,0.95,0.01331535919387443,0.019818293661169363,0.0082174818512636,-4.24927771460628
2022-04-13,MS_POT_Mixture,0.95,0.013360196413221826,0.01998494147630562,0.003122351097155,-4.244263053478759
2022-04-18,MS_POT_Mixture,0.95,0.013202222569050803,0.019397095805450966,0.0174322506303487,0.09950349457469887
2022-04-19,MS_POT_Mixture,0.95,0.015767814232359907,0.02740962714359896,0.0125982039716312,-4.021595421755167
2022-04-20,MS_POT_Mixture,0.95,0.01635629655594153,0.02886290663990153,-0.0104356037788649,-3.978508847322711
2022-04-21,MS_POT_Mixture,0.95,0.01471924675219492,0.02447105083200765,-0.0148311509927678,-4.108768149788041
2022-04-22,MS_POT_Mixture,0.95,0.015377856570598182,0.02631176221127892,0.0127676127989613,-4.053291216160181
2022-04-25,MS_POT_Mixture,0.95,0.01609188460885678,0.0281417751752615,0.0127763942010033,-3.9986853077303643
