K,regime,soft_filtered_occupancy,soft_smoothed_occupancy,hard_filtered_occupancy,hard_smoothed_occupancy,hard_filtered_count,hard_smoothed_count,expected_duration_days,p_jj_persistence,min_required_obs,passes_evt_sample_screen,passes_duration_screen
2,0,0.7334964641852546,0.7348100079176955,0.7883923985618901,0.7740112994350282,1535,1507,35.533432731405505,0.9718574896053831,300,True,True
2,1,0.2665035358147454,0.2651899920823099,0.21160760143810992,0.22598870056497175,412,440,12.83222134916734,0.922071169691529,300,True,True
3,0,0.6831649763759599,0.6801039862187856,0.7812018489984591,0.7473035439137135,1521,1455,9.688001995238325,0.8967795423151748,300,True,True
3,1,0.09085258872017297,0.09183876007453363,0.044170518746789934,0.04930662557781202,86,96,1.3065235803913304,0.2346100636771672,300,False,False
3,2,0.2259824349038671,0.2280572537066743,0.1746276322547509,0.2033898305084746,340,396,10.935500302192997,0.9085547096734604,300,True,True
4,0,0.7019197120005758,0.6997491883004435,0.7971237801746276,0.7591165896250642,1552,1478,33.22692471096811,0.9699039255453604,300,True,True
4,1,0.13587561600386341,0.13811277509189804,0.10066769388803287,0.12994350282485875,196,253,2.4971504325472904,0.599543548932324,300,False,True
4,2,0.10892921031793591,0.10829462581513943,0.08731381612737545,0.08628659476117104,170,168,2.018406240817867,0.5045595976780197,300,False,True
4,3,0.053275461677624855,0.053843410792517275,0.014894709809964048,0.02465331278890601,29,48,1.0000006885783939,6.8857791968302e-07,300,False,False
