model,alpha,n_exceptions,mean_residual,bootstrap_se,z_stat,p_value,reject_at_5pct,test_stat,note
MS_POT_Mixture,0.95,38,-0.07714711486880661,0.06085760015729749,-1.2676660707850116,0.2049172262362582,False,,
MS_POT_Mixture,0.975,15,-0.03358174772200954,0.07778693123268762,-0.4317145205478657,0.665948912547053,False,,
MS_POT_Mixture,0.99,7,-0.1436130996575866,0.12224972684753006,-1.1747519062901544,0.24009398629657652,False,,
HistoricalSimulation,0.95,27,-0.13329636164734862,0.07227129189767159,-1.8443888042859673,0.06512649775451096,False,,
HistoricalSimulation,0.975,11,-0.12320441429584053,0.08968142272965526,-1.373800844654755,0.1695035188477525,False,,
HistoricalSimulation,0.99,4,,,,,,,too few exceptions for ESR
EWMA_Normal,0.95,56,0.11090681588042604,0.06934458367805307,1.599358017568242,0.10974107501285268,False,,
EWMA_Normal,0.975,29,0.17763788848588402,0.10906118810560969,1.6287910628102447,0.10335725729771483,False,,
EWMA_Normal,0.99,15,0.25448997293997394,0.1554187417554558,1.6374471319578827,0.10153707698469883,False,,
GARCH_t,0.95,51,0.041259532154796275,0.06848886426190523,0.6024268704035962,0.5468900282174598,False,,
GARCH_t,0.975,24,0.09273046609226088,0.10852274936469469,0.8544795136053616,0.3928393557275869,False,,
GARCH_t,0.99,12,0.12059782924424574,0.1309189167188559,0.9211642768418689,0.35696466591993836,False,,
Static_POT_EVT,0.95,28,-0.1463630837331503,0.06774001403790979,-2.160659188101735,0.030721675685829508,True,,
Static_POT_EVT,0.975,11,-0.1326032228777759,0.08999429510023334,-1.4734625425987928,0.14062635681725943,False,,
Static_POT_EVT,0.99,2,,,,,,,too few exceptions for ESR
GARCH_EVT,0.95,39,0.0073062150267429815,0.07508383749112427,0.09730742688273833,0.9224822581932237,False,,
GARCH_EVT,0.975,13,0.20004535685240107,0.14433374626008671,1.3859915787949069,0.16574947493876868,False,,
GARCH_EVT,0.99,9,0.11306707798877993,0.1308073578836378,0.8643785779188426,0.38737995691194804,False,,
FHS,0.95,39,0.010621694883192609,0.07552508745088339,0.14063796867630599,0.8881559516596331,False,,
FHS,0.975,14,0.16575773603697355,0.12572155051842654,1.3184512548043945,0.18735263257363055,False,,
FHS,0.99,7,0.18870672639665406,0.17967432061427308,1.0502709889287511,0.29359353944701394,False,,
