model,alpha,n_obs,exceptions,expected_exceptions,exception_rate,Kupiec_LR,Kupiec_p,Kupiec_reject,Christoffersen_ind_LR,Christoffersen_ind_p,Christoffersen_cc_LR,Christoffersen_cc_p,DQ_stat,DQ_p,overall_pass
MS_POT_Mixture,0.95,987,38,49.350000000000044,0.03850050658561297,2.974115596829961,0.08460635788265924,False,1.3650827538825752,0.24265853461959241,4.339198350712536,0.11422339128659298,6.396820189969317,0.38023565711439655,True
MS_POT_Mixture,0.975,987,15,24.675000000000022,0.015197568389057751,4.514734407344889,0.03360410301917094,True,0.46345818717034604,0.4960122042000408,4.978192594515235,0.08298492640493782,4.804618042167927,0.5691055902688855,False
MS_POT_Mixture,0.99,987,7,9.870000000000008,0.0070921985815602835,0.938165584428333,0.33275005332578633,False,0.10010299801199096,0.7517060674118075,1.038268582440324,0.5950354524748835,1.221547940805857,0.9758070184080982,True
HistoricalSimulation,0.95,987,27,49.350000000000044,0.02735562310030395,12.661107085367064,0.00037334107853015386,True,1.583944315598501,0.2081934602725637,14.245051400965565,0.0008067266260073369,15.774761718811284,0.015015351169914704,False
HistoricalSimulation,0.975,987,11,24.675000000000022,0.011144883485309016,9.769716014068422,0.0017740985436649481,True,0.2482103939250777,0.6183380224643995,10.0179264079935,0.006677823258810944,14.156272639761653,0.02793840115613344,False
HistoricalSimulation,0.99,987,4,9.870000000000008,0.004052684903748734,4.549549032484421,0.032927417812967374,True,0.032586648157888476,0.8567461423462149,4.58213568064231,0.10115838315839965,4.790130492457322,0.5709985669726836,False
EWMA_Normal,0.95,987,56,49.350000000000044,0.05673758865248227,0.9056345982090761,0.34127534763550416,False,1.01555041440605,0.3135767935145556,1.9211850126151262,0.3826660867216798,7.680397709207253,0.2624655439125023,True
EWMA_Normal,0.975,987,29,24.675000000000022,0.029381965552178316,0.7367713261993458,0.3906971044665625,False,1.757844845676459,0.1848935575791083,2.494616171875805,0.2872770821481727,5.459146800052855,0.4864080576899671,True
EWMA_Normal,0.99,987,15,9.870000000000008,0.015197568389057751,2.323490541316829,0.12743378297006513,False,0.46345818717034604,0.4960122042000408,2.7869487284871752,0.2482114278795471,5.369579057977891,0.4973578270401692,True
GARCH_t,0.95,987,51,49.350000000000044,0.05167173252279635,0.057467658242615016,0.8105441276959907,False,1.911163483002042,0.16683407435212705,1.968631141244657,0.3736949072019128,3.3104645940716018,0.7689915725441626,True
GARCH_t,0.975,987,24,24.675000000000022,0.0243161094224924,0.019109113409797374,0.8900541281023614,False,1.1976294504358407,0.27379599004119026,1.216738563845638,0.5442376440023919,4.981552720221208,0.5461812964873971,True
GARCH_t,0.99,987,12,9.870000000000008,0.0121580547112462,0.43440957706337713,0.5098331304797759,False,0.2956953658996042,0.5865937101542418,0.7301049429629813,0.6941602263068953,7.157088733851778,0.30656385527061913,True
Static_POT_EVT,0.95,987,28,49.350000000000044,0.028368794326241134,11.445422308898657,0.0007167034275646911,True,3.930101952408819,0.04742906884871989,15.375524261307476,0.0004584028704684995,24.919148299943128,0.0003534264485755001,False
Static_POT_EVT,0.975,987,11,24.675000000000022,0.011144883485309016,9.769716014068422,0.0017740985436649481,True,0.2482103939250777,0.6183380224643995,10.0179264079935,0.006677823258810944,18.25994454761554,0.005614378224308325,False
Static_POT_EVT,0.99,987,2,9.870000000000008,0.002026342451874367,9.417806364912419,0.0021488843389494416,True,0.008130086898411548,0.928154512028883,9.42593645181083,0.008978088996814182,7.33955087510602,0.29058365783390494,False
GARCH_EVT,0.95,987,39,49.350000000000044,0.03951367781155015,2.4544903279482355,0.1171892015019933,False,1.1933091686404964,0.2746630726308784,3.647799496588732,0.16139512173482384,5.594004268994204,0.47016860685221895,True
GARCH_EVT,0.975,987,13,24.675000000000022,0.013171225937183385,6.829200708324834,0.008967938784069207,True,0.3473895752786973,0.5555945608668107,7.176590283603531,0.02764542179377738,8.112583222162884,0.22997069418427862,False
GARCH_EVT,0.99,987,9,9.870000000000008,0.00911854103343465,0.07981941569644846,0.7775422822624336,False,0.16581606065511778,0.6838572955623068,0.24563547635156624,0.8844248447572822,0.45112737870816155,0.9983833908827583,True
FHS,0.95,987,39,49.350000000000044,0.03951367781155015,2.4544903279482355,0.1171892015019933,False,1.1933091686404964,0.2746630726308784,3.647799496588732,0.16139512173482384,5.623484750603231,0.4666592960404933,True
FHS,0.975,987,14,24.675000000000022,0.014184397163120567,5.59945037411876,0.017966112981403937,True,0.4033061263788227,0.5253867560227603,6.002756500497583,0.049718496593886385,6.966015528141797,0.3240015121029436,False
FHS,0.99,987,7,9.870000000000008,0.0070921985815602835,0.938165584428333,0.33275005332578633,False,0.10010299801199096,0.7517060674118075,1.038268582440324,0.5950354524748835,1.0314610095336154,0.9843915051741405,True
