regime,alpha,VaR_std,ES_std,VaR_raw,ES_raw,VaR_ci_lo,VaR_ci_hi,ES_ci_lo,ES_ci_hi
0,0.95,1.6966577827143192,2.177821874306141,0.011201742983155866,0.014639490797090508,0.010899155819623682,0.011660575084528335,0.013892475462208169,0.015524488145624002
0,0.975,2.0747875760097076,2.4867271720117397,0.013903347057525396,0.01684651025356547,0.013174931950566456,0.014895744444230695,0.0157510385039044,0.017957064332020566
0,0.99,2.4924800598587824,2.8279523898088343,0.016887612609218308,0.019284444145640785,0.015766376841799566,0.018090709997277944,0.017684923238156066,0.020583527349225743
1,0.975,1.9320443352027343,2.4968175245482667,0.02481167582001802,0.03192589929339434,0.023996774784001605,0.02609721400660571,0.027955882369368832,0.04308275096278189
1,0.99,2.3210831657476296,3.1121974449427237,0.029712243397463808,0.03967759565098513,0.027131864309067267,0.03319946226410202,0.0313013520155602,0.067069023086689
