crisis,start,end,n_days,model,exceptions,exception_rate,avg_FZ_loss,avg_ES,peak_ES,max_realized_loss
2022_geopolitical_rate_shock,2022-02-24,2022-06-30,86,MS_POT_Mixture,5,0.05813953488372093,-2.626656353317913,0.04276842911418482,0.07321730437925428,0.0489602690308219
2022_geopolitical_rate_shock,2022-02-24,2022-06-30,86,GARCH_EVT,2,0.023255813953488372,-3.123459084670643,0.037488070948983494,0.04975286902312305,0.0489602690308219
2022_geopolitical_rate_shock,2022-02-24,2022-06-30,86,GARCH_t,5,0.05813953488372093,-3.0392427675382554,0.03274390708147291,0.04270445524299214,0.0489602690308219
2022_geopolitical_rate_shock,2022-02-24,2022-06-30,86,HistoricalSimulation,6,0.06976744186046512,-3.1554471069283525,0.03653389667103371,0.03673208063978982,0.0489602690308219
