model,mean_es,sd_es,cv_es,sd_d_es_1d,sd_d_es_5d,sd_d_log_es,max_20d_pct_increase,peak_to_trough_ratio,crisis_peak_es,corr_es_realized_vol,calm_median_es,stress_median_es,stress_calm_ratio
MS_POT_Mixture,0.028408968965358182,0.010128849235317034,0.35653702348959315,0.006247442407701477,0.011644429632534009,0.1526103224938628,2.155198996286811,3.2067493244417764,0.074392231435822,0.5970580838048081,,,
HistoricalSimulation,0.036953498924508776,0.0005853323413920218,0.015839700121165257,4.5585701575826315e-05,0.00010192079658387811,0.0012406359944624509,0.029989296689278522,1.0624240235613776,0.03774844679711587,-0.07748691885576417,,,
EWMA_Normal,0.019101041516833967,0.0064697657741477925,0.3387127224683488,0.001124427294840901,0.0028811274381026096,0.04918608769910592,2.068557452502584,4.31045790486035,0.044829191421634315,0.9098294648701428,,,
GARCH_t,0.021388847973677527,0.005428816238283327,0.2538152706945401,0.0010805565662742665,0.002420954863992383,0.04231749021046818,0.5339262572051209,2.9682400648611518,0.04270445524299214,0.69641792664388,,,
Static_POT_EVT,0.037325212565067635,0.0007023776777784503,0.01881778105225849,5.872004032439334e-05,0.0001309449667088244,0.0015846078210305248,0.03355488076913904,1.077973069140081,0.03882798100910991,-0.15485961108519553,,,
GARCH_EVT,0.023931856153222228,0.0064191850742329705,0.26822763070003997,0.0012901537804276197,0.0028905890310857133,0.04494282656996405,0.5695626761526142,3.1698597630270506,0.04975286902312305,0.6986722746256111,,,
FHS,0.023990285865338988,0.006515017754314287,0.2715689921697491,0.0012985269230541517,0.0029093396998698517,0.04499123458830009,0.574355447292267,3.1990074512662394,0.050448116436760525,0.6989600833086617,,,
