regime,q_j,u_j,N_j,N_u_j,p_u_j,xi,beta,loglik
0,0.93,1.4876646738366832,1322,93,0.07034795763993948,-0.22409617479517588,0.6358256802243746,-30.045788308812938
1,0.96,1.7708747961888611,879,36,0.040955631399317405,0.3678070771377746,0.2977663162582381,-5.628989031141899
